epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.9485526084899902,1.915954351425171,1.9162484407424927,0.21428571428571427,0.268,0.261,0.005,0.268,0.261,0,Accuracy,higher,final,42
1,1.9367889165878296,1.9172545671463013,1.9172255992889404,0.15,0.166,0.153,0.005,0.268,0.261,0,Accuracy,higher,final,42
2,1.9294694662094116,1.9229838848114014,1.9224932193756104,0.14285714285714285,0.162,0.149,0.005,0.268,0.261,0,Accuracy,higher,final,42
3,1.9231170415878296,1.9289051294326782,1.9271318912506104,0.2571428571428571,0.174,0.175,0.005,0.268,0.261,0,Accuracy,higher,final,42
4,1.9160354137420654,1.932375431060791,1.9298940896987915,0.42142857142857143,0.26,0.258,0.005,0.268,0.261,0,Accuracy,higher,final,42
5,1.898929238319397,1.9339560270309448,1.9311435222625732,0.5571428571428572,0.33,0.347,0.005,0.33,0.347,5,Accuracy,higher,final,42
6,1.8947514295578003,1.9362529516220093,1.9329514503479004,0.55,0.356,0.352,0.005,0.356,0.352,6,Accuracy,higher,final,42
7,1.8830369710922241,1.9343148469924927,1.9306938648223877,0.5714285714285714,0.354,0.348,0.005,0.356,0.352,6,Accuracy,higher,final,42
8,1.8676520586013794,1.9309076070785522,1.9265828132629395,0.6142857142857143,0.34,0.326,0.005,0.356,0.352,6,Accuracy,higher,final,42
9,1.870058536529541,1.9255478382110596,1.9202988147735596,0.6428571428571429,0.338,0.339,0.005,0.356,0.352,6,Accuracy,higher,final,42
10,1.8514190912246704,1.9183921813964844,1.9123772382736206,0.6928571428571428,0.366,0.372,0.005,0.366,0.372,10,Accuracy,higher,final,42
11,1.8423298597335815,1.9108928442001343,1.9043047428131104,0.7285714285714285,0.378,0.393,0.005,0.378,0.393,11,Accuracy,higher,final,42
12,1.8485875129699707,1.9008715152740479,1.8942975997924805,0.7642857142857142,0.432,0.442,0.005,0.432,0.442,12,Accuracy,higher,final,42
13,1.831422209739685,1.8892244100570679,1.882985234260559,0.8214285714285714,0.488,0.509,0.005,0.488,0.509,13,Accuracy,higher,final,42
14,1.8199611902236938,1.876896619796753,1.8708999156951904,0.9,0.556,0.573,0.005,0.556,0.573,14,Accuracy,higher,final,42
15,1.7989658117294312,1.8639863729476929,1.858241081237793,0.9285714285714286,0.628,0.627,0.005,0.628,0.627,15,Accuracy,higher,final,42
16,1.762330412864685,1.8526923656463623,1.8470176458358765,0.9357142857142857,0.676,0.684,0.005,0.676,0.684,16,Accuracy,higher,final,42
17,1.7891265153884888,1.8417195081710815,1.836210012435913,0.9357142857142857,0.688,0.713,0.005,0.688,0.713,17,Accuracy,higher,final,42
18,1.7676564455032349,1.828985333442688,1.8236829042434692,0.9357142857142857,0.728,0.746,0.005,0.728,0.746,18,Accuracy,higher,final,42
19,1.7598955631256104,1.8160507678985596,1.8111239671707153,0.9285714285714286,0.742,0.747,0.005,0.742,0.747,19,Accuracy,higher,final,42
20,1.7357667684555054,1.805269479751587,1.8004409074783325,0.9214285714285714,0.75,0.754,0.005,0.75,0.754,20,Accuracy,higher,final,42
21,1.7393985986709595,1.7942264080047607,1.7893520593643188,0.9285714285714286,0.764,0.767,0.005,0.764,0.767,21,Accuracy,higher,final,42
22,1.720909833908081,1.785028100013733,1.779892086982727,0.95,0.768,0.779,0.005,0.768,0.779,22,Accuracy,higher,final,42
23,1.6927801370620728,1.7752721309661865,1.769708275794983,0.95,0.774,0.788,0.005,0.774,0.788,23,Accuracy,higher,final,42
24,1.663529872894287,1.7655280828475952,1.7595564126968384,0.95,0.786,0.79,0.005,0.786,0.79,24,Accuracy,higher,final,42
25,1.6670527458190918,1.7568960189819336,1.7503941059112549,0.9571428571428572,0.794,0.794,0.005,0.794,0.794,25,Accuracy,higher,final,42
26,1.658017635345459,1.749622106552124,1.742175817489624,0.9571428571428572,0.784,0.785,0.005,0.794,0.794,25,Accuracy,higher,final,42
27,1.6474895477294922,1.7421332597732544,1.733396053314209,0.95,0.77,0.788,0.005,0.794,0.794,25,Accuracy,higher,final,42
28,1.6045632362365723,1.7348276376724243,1.724863052368164,0.9428571428571428,0.756,0.78,0.005,0.794,0.794,25,Accuracy,higher,final,42
29,1.6294825077056885,1.7283601760864258,1.7171176671981812,0.9357142857142857,0.75,0.763,0.005,0.794,0.794,25,Accuracy,higher,final,42
30,1.585623860359192,1.7223823070526123,1.710162878036499,0.9285714285714286,0.728,0.733,0.005,0.794,0.794,25,Accuracy,higher,final,42
31,1.6099398136138916,1.7165212631225586,1.7034322023391724,0.9071428571428571,0.722,0.71,0.005,0.794,0.794,25,Accuracy,higher,final,42
32,1.566724419593811,1.7099814414978027,1.696044921875,0.8928571428571429,0.704,0.688,0.005,0.794,0.794,25,Accuracy,higher,final,42
33,1.5191235542297363,1.7022444009780884,1.6877902746200562,0.8857142857142857,0.698,0.69,0.005,0.794,0.794,25,Accuracy,higher,final,42
34,1.4871221780776978,1.6932114362716675,1.6786584854125977,0.8928571428571429,0.696,0.688,0.005,0.794,0.794,25,Accuracy,higher,final,42
35,1.5169024467468262,1.683215618133545,1.66841459274292,0.9071428571428571,0.708,0.7,0.005,0.794,0.794,25,Accuracy,higher,final,42
36,1.487879753112793,1.6718058586120605,1.6567399501800537,0.9071428571428571,0.718,0.715,0.005,0.794,0.794,25,Accuracy,higher,final,42
37,1.490379810333252,1.6588726043701172,1.6438989639282227,0.9214285714285714,0.726,0.735,0.005,0.794,0.794,25,Accuracy,higher,final,42
38,1.4797035455703735,1.6444331407546997,1.6294218301773071,0.9285714285714286,0.742,0.751,0.005,0.794,0.794,25,Accuracy,higher,final,42
39,1.45513916015625,1.6309113502502441,1.6158039569854736,0.9428571428571428,0.764,0.755,0.005,0.794,0.794,25,Accuracy,higher,final,42
40,1.5045334100723267,1.6155378818511963,1.6002875566482544,0.9571428571428572,0.77,0.768,0.005,0.794,0.794,25,Accuracy,higher,final,42
41,1.392404556274414,1.600438117980957,1.584918737411499,0.9571428571428572,0.782,0.776,0.005,0.794,0.794,25,Accuracy,higher,final,42
42,1.4043318033218384,1.5840729475021362,1.5683717727661133,0.9571428571428572,0.794,0.789,0.005,0.794,0.794,25,Accuracy,higher,final,42
43,1.3262139558792114,1.5696086883544922,1.5537563562393188,0.9571428571428572,0.798,0.792,0.005,0.798,0.792,43,Accuracy,higher,final,42
44,1.3184112310409546,1.55490243434906,1.5387300252914429,0.9571428571428572,0.796,0.797,0.005,0.798,0.792,43,Accuracy,higher,final,42
45,1.354549527168274,1.5404468774795532,1.523905873298645,0.9642857142857143,0.802,0.801,0.005,0.802,0.801,45,Accuracy,higher,final,42
46,1.3442542552947998,1.5260224342346191,1.50907301902771,0.9642857142857143,0.806,0.804,0.005,0.806,0.804,46,Accuracy,higher,final,42
47,1.3656429052352905,1.511610746383667,1.4940201044082642,0.9642857142857143,0.802,0.806,0.005,0.806,0.804,46,Accuracy,higher,final,42
48,1.3043092489242554,1.4965776205062866,1.478674292564392,0.9714285714285714,0.804,0.811,0.005,0.806,0.804,46,Accuracy,higher,final,42
49,1.32842218875885,1.4824049472808838,1.4642478227615356,0.9714285714285714,0.8,0.812,0.005,0.806,0.804,46,Accuracy,higher,final,42
50,1.326102614402771,1.4698010683059692,1.4514036178588867,0.9714285714285714,0.798,0.812,0.005,0.806,0.804,46,Accuracy,higher,final,42
51,1.284604549407959,1.4580961465835571,1.4395028352737427,0.9642857142857143,0.806,0.811,0.005,0.806,0.804,46,Accuracy,higher,final,42
52,1.2981798648834229,1.4461647272109985,1.4273502826690674,0.9642857142857143,0.808,0.815,0.005,0.808,0.815,52,Accuracy,higher,final,42
53,1.258253574371338,1.4362719058990479,1.4166585206985474,0.9642857142857143,0.806,0.815,0.005,0.808,0.815,52,Accuracy,higher,final,42
54,1.2426155805587769,1.4281296730041504,1.4072824716567993,0.9642857142857143,0.81,0.813,0.005,0.81,0.813,54,Accuracy,higher,final,42
55,1.1919755935668945,1.418171763420105,1.3964914083480835,0.9714285714285714,0.802,0.807,0.005,0.81,0.813,54,Accuracy,higher,final,42
56,1.2060786485671997,1.408083200454712,1.3858217000961304,0.9714285714285714,0.802,0.807,0.005,0.81,0.813,54,Accuracy,higher,final,42
57,1.1586313247680664,1.3976384401321411,1.3746610879898071,0.9785714285714285,0.802,0.806,0.005,0.81,0.813,54,Accuracy,higher,final,42
58,1.1335257291793823,1.3857380151748657,1.3622322082519531,0.9857142857142858,0.802,0.806,0.005,0.81,0.813,54,Accuracy,higher,final,42
59,1.1914241313934326,1.3739378452301025,1.350241780281067,0.9785714285714285,0.806,0.812,0.005,0.81,0.813,54,Accuracy,higher,final,42
60,1.0947002172470093,1.3617563247680664,1.3380424976348877,0.9785714285714285,0.814,0.811,0.005,0.814,0.811,60,Accuracy,higher,final,42
